ASCL1-1	0.80705729005	32222
ASCL1-2	0.938254998836	193295
CDX2-1	0.880225314362	477555
CDX2-2	0.788190854975	380163
FGFR2-1	1.6707879436e-05	299260
FGFR2-2	3.12990826523e-05	351448
FOXA2-1	0.420985316356	283036
FOXA2-2	0.338117271148	373681
FOXG1-1	0.560666284858	350961
FOXG1-2	0.388350836692	308417
GATA3-1	0.651126612754	242985
GATA3-2	0.395795310234	288202
GATA4-1	0.507459439958	188486
GATA6-1	0.548503720383	252259
GATA6-2	0.960552268245	4056
HES1-1	0.955983536061	32556
HES1-2	0.608678500986	2535
HNF4A-2	0.278440643673	369691
KLF2-1	0.701861336665	120075
KLF2-2	0.271329879102	11580
KLF6-1	0.804371448974	354299
KLF6-2	0.632220226648	314585
MYOG-1	0.741746609597	368909
MYOG-2	0.688762844687	462448
NEUROG1-1	0.328273693522	456686
NEUROG1-2	0.900216248699	1351222
NKX2-1-1	0.528400131101	323414
NKX2-1-2	0.682676149576	353478
NKX2-5-1	0.820206695845	43639
NKX2-5-2	0.978032267358	13884
PDX1-1	0.227464039591	21621
PDX1-2	0.856428895956	2201
PROX1-1	0.46968045812	381734
PROX1-2	0.521796277475	449641
RUNX1-1	0.580657376739	406677
RUNX1-2	0.617223194916	286718
SNAI1-1	0.291200292388	306442
SNAI1-2	0.555949225122	353088
SOX17-1	0.262579517572	354167
SOX9-1	0.646109887083	290480
SOX9-2	0.40750408415	334831
TULP3-1	0.607742696105	317228
TULP3-2	0.712250712251	2457
TWIST1-1	0.209123174413	147076
TWIST1-2	0.590967714067	324104
